shift_id,category,note
S102110,client_requested,"client says stay till 0600, dont know if office approved"
S103965,relief_no_show,"Mavuso didnt come in, covered the post"
S102765,equipment_failure,"buffer mcahine kaput, did the floor by hand.."
S102065,client_requested,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S108797,client_requested,Client requested deep clean before the audit - approved
S100570,no_signal,no incidents
S106130,client_requested,extra hours approved by client for the event setup
S105900,relief_no_show,"covering Maluleke post, no show no call"
S100159,equipment_failure,"lift out of order, everything carried up stairs, took long"
S107412,client_requested,Client requested deep clean before the audit - approved
S104919,relief_no_show,double shift bc relief never pitched
S104519,equipment_failure,"SCRUBBER BROKE DOWN, HAD TO DO THE FLOOR MANUALLY"
S104625,equipment_failure,"scrubber broke down, had to do the floor manually"
S104230,relief_no_show,"HENDRICKS DIDNT COME IN, COVERED THE POST"
S107710,equipment_failure,"buffer machine kaput, did the floor by hand.."
S107512,no_signal,no issues on site
S107337,relief_no_show,next shift guard did not pitch. had to cover.
S109128,no_signal,sharp
S104122,no_signal,-
S100731,late_handover,"late handover, waiting on paperwork"
S107041,client_requested,"client says stay till 0600, dont know if offcie approved"
S107057,no_signal,no incidents
S108017,relief_no_show,"relief only arrived six, stayed until thhen"
S100815,no_signal,
S105108,equipment_failure,"buffer machine kaput, did the floor by hand"
S104091,staff_leave_covering,"double duty today, Ngcobo on family responsibility leave"
S105998,no_signal,sharp
S106138,relief_no_show,"relief only arrived 06:00, stayed until then"
S103597,relief_no_show,"covering Molefe post, no show no call.."
S107765,relief_no_show,no relief. stayed. someone must please sort the roster
S102732,relief_no_show,stood in for Khumalo
S100013,relief_no_show,"no replacement sent, ngicela sort this out"
S107891,relief_no_show,"covering Radebe post, no show no call"
S104320,relief_no_show,client signed for the extra hrs but real reason is relief no show again
S103450,client_requested,"client wanted extra man on the gate for the event, approved"
S105833,client_requested,Centre manager requested additional cover for stocktake..
S107430,equipment_failure,"buffer machine kaput, did the floor by hand"
S105324,late_handover,"waited 20 min for handover, OB book not signed"
S101068,relief_no_show,"mavuso didnt come in, covered the post"
S103089,relief_no_show,"took Mavuso shift as well, 2 posts 1 guard"
S106346,client_requested,"CLIET SAYS STAY TILL 0600, DONT KNOW IF OFFICE APPROVED"
S100845,no_signal,n/a
S101082,no_signal,-
S102397,relief_no_show,"relief oly arrived six, stayed until then"
S101577,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S103386,no_signal,akukho lutho
S100261,client_requested,"extra patrol per client email, approved by office"
S108560,relief_no_show,"Motaung absent, took her rounds as well"
S100346,equipment_failure,"gate motor faled, manned it by hand till 06h00"
S107758,relief_no_show,"waited for relief, nobody came through"
S103760,relief_no_show,client signed for the extra hours but real reason is relief no show agn
S105632,late_handover,"late handover, waiting on paperwork"
S102162,no_signal,quiet shift
S106556,equipment_failure,"gate motor failed, manned it by hand till six"
S106150,staff_leave_covering,"DOUBLE DUTY TODAY, WYK ON FAMILY RESPONSIBILITY LEAVE"
S104946,no_signal,ok
S109135,late_handover,"late handover, waiting on paperwork"
S107358,client_requested,"extra patrool per client email, approved by office"
S108965,client_requested,"client says stay till six, dont know if office approved"
S107557,staff_leave_covering,Balloyi off sick. agn. covered
S102889,client_requested,"client says stay till 6am, dont know if office approved"
S101114,client_requested,klient het ekstra ure gevra vir stocktake !
S104158,client_requested,"client says say till 6am, dont know if office approved"
S108836,relief_no_show,"waited for relief, nobody came through"
S103378,late_handover,"handover laet agn, keys missing"
S108174,late_handover,shift handover delayed by 20 min..
S102121,no_signal,akukho lutho
S106272,client_requested,"additional cover requested by site manager, signed off"
S102883,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104413,staff_leave_covering,"double duty today, Zulu on family responsibility leave"
S102630,relief_no_show,"took dlamini shift as well, 2 posts 1 guard"
S103206,relief_no_show,stood in for Fourie
S103609,staff_leave_covering,"gedek vir Ndlovu, siek gemeld"
S103551,client_requested,CLIETN ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY
S107118,client_requested,klient het ekstra ure gevra vir stocktake
S107491,staff_leave_covering,zulu off sick. again. coveered.
S103775,equipment_failure,"scrubber broke down, had to do the floor manually.."
S104429,relief_no_show,"Septeember didnt come in, covered the post"
S104005,relief_no_show,"Mabaso didnt come in, covered the post"
S102885,no_signal,sharp
S106574,no_signal,ntr
S104365,client_requested,"additional cover requested by site mgr, signed off"
S105303,client_requested,extra hours approved by client for the event setup
S102254,client_requested,"client says stay till 6, dont know if office approved"
S102028,client_requested,"stocktake ran over, client asked us to reemain, they know they pay for it"
S107739,client_requested,klient het ekstra ure gevra vir stocktake..
S100313,equipment_failure,"generator fault, stayed to monitor"
S105239,equipment_failure,"scrubber broke down, had to do the floor manually"
S101500,relief_no_show,"Sithole absent, took her rounds as well"
S109296,relief_no_show,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 0600.."
S109301,relief_no_show,"took Wyk shift as well, 2 posts 1 gard.."
S102605,no_signal,n/a
S103931,no_signal,niks om te rapporteer nie
S102420,late_handover,"oorhandiging was laat, gewag vir sleutels"
S108871,client_requested,Client askeed for extra patrol afetr the break-in Tuesday
S105150,no_signal,-
S106438,relief_no_show,stood in for Mabaso
S102631,relief_no_show,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 06:00"
S105083,client_requested,"additional cover requested by site manager, signed off"
S108286,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S101325,client_requested,klient het ekstra ure gevra vir stocktake !
S108195,relief_no_show,"relief never arrived, stayed on till 6am"
S104015,relief_no_show,"covering Motaung post, no show no caall"
S102989,late_handover,"handover late agn, keys missing"
S108078,relief_no_show,Next shift guard did not pitch. Had to covr.
S106439,staff_leave_covering,"double duty today, Sithole on family responsibility leave"
S101779,late_handover,"late handover, waiting on paperwork"
S101122,staff_leave_covering,PILLAY OFF SICK. AGN. COVERED !
S102228,relief_no_show,stood in for Fourie
S100554,client_requested,Centre manager requested addtional cover for stocktake..
S108850,no_signal,.
S106565,no_signal,ok
S109287,late_handover,"waited 25 min for handover, OB book not signed.."
S108347,no_signal,n/a
S107387,relief_no_show,"took naidoo shift as well, 2 posts 1 guard.."
S106396,client_requested,Client asked for extra patrol after the break-in Tuesday..
S100905,no_signal,quiet shift
S100333,staff_leave_covering,"geddek vir Mabaso, siek gemeld.."
S103806,staff_leave_covering,Ndlovu off sick. aggn. covered
S103850,no_signal,no issues on site
S101502,client_requested,"additional cover requested by site manager, signed off"
S106645,client_requested,client asked for extra patrol after the break-in tuesday
S104103,relief_no_show,"Pillay absent, took her rounds as well"
S102856,no_signal,niks om te rapporteer nie
S101331,relief_no_show,"no replacement sent, ngicela sort this out.."
S108104,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S102307,staff_leave_covering,"double duty today, Maluleke on family responsibility leave"
S102886,relief_no_show,"took Adams shift as well, 2 posts 1 guard.."
S106107,equipment_failure,"machine down again, took twice as long"
S104337,client_requested,"requested by centre management for load in, signed off"
S106848,no_signal,no issues on site
S103166,no_signal,ok
S103384,equipment_failure,"generator fault, stayed to monitor"
S100022,client_requested,Client rquested deep clean before the audit - approved
S109118,equipment_failure,"buffer machine kaput, did the floor by hand"
S103269,no_signal,all good
S100388,client_requested,"additional cover requested by site manager, signed off"
S103014,relief_no_show,"Sithole absent, took her rounds as well"
S103608,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S104501,no_signal,all fine
S103366,no_signal,quiet shift
S101518,late_handover,"waited 30 min for handover, ob book not signed"
S102859,equipment_failure,"scrubber broke down, had to do the floor manually"
S106529,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104422,no_signal,all fine
S100738,relief_no_show,double shift bc relief never pitched
S102143,no_signal,ok
S101484,late_handover,"waited 45 min for handover, OB book not signed"
S105299,no_signal,n/a
S100204,no_signal,all good
S105768,client_requested,client asked for extra patrol after the break-in tuesday
S107100,no_signal,n/a
S106646,client_requested,client requested deep clean befroe the audit - approved
S104821,late_handover,"oorhandiging was lat, gewag vir sleutels"
S101034,no_signal,no issues on site
S103226,client_requested,Client requested deep clean before the audit - approved..
S106671,client_requested,"requested by centre management for load in, signed off"
S109348,relief_no_show,client signed for the extra hours but real reason is relief no show agn
S105269,relief_no_show,"covering Sibiya post, no show no call"
S103800,no_signal,nothing to report
S108275,relief_no_show,relif no show AGAIN
S102865,client_requested,Client asked for extra patrol after the break-in Tuesday
S102439,no_signal,all good
S107217,equipment_failure,"buffer machine kaput, did the floor by hand"
S102952,no_signal,ntr
S108076,client_requested,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S100629,relief_no_show,COVERED FOR WYK AGAIN - 3RD TIME THIS MONTH
S108051,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S108033,relief_no_show,Next shift guard did not pitch. Had to cover.
S108562,staff_leave_covering,Covering for Adams - booked off sick
S104862,late_handover,"handover late again, keys missing"
S102855,relief_no_show,Next shift guard did not pitch. Had to cover.
S103428,relief_no_show,"zulu absent, took her rounds as well"
S103584,staff_leave_covering,"worked through, baloyi at the clinic"
S106947,late_handover,shift handover delayed by 40 min
S108154,no_signal,.
S105631,staff_leave_covering,Khumalo off sick. again. covered.
S104568,relief_no_show,"Cele absent, took her rounds as well"
S105508,late_handover,"oorhandiging was laat, gewag vir sleutels"
S106033,staff_leave_covering,Covering for Fourie - booked off sick
S106673,client_requested,Client asked for exra patrol after the break-in Tuesday
S109183,client_requested,Client requested deep clean before the audit - approveed
S108185,relief_no_show,"covering Wyk post, no show no call"
S103019,relief_no_show,"still on site, relief was suppose to come 06:00"
S102844,staff_leave_covering,radebe off sick. again. covered.
S107816,staff_leave_covering,"worked through, Maluleke at the clinic"
S101627,late_handover,"waited 40 min for handover, OB book not signed"
S108529,relief_no_show,"uFourie akezanga namhalnje, ngimele yena"
S101445,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S104588,no_signal,all good
S108628,equipment_failure,"buffer machine kaput, did the floor by hand"
S108873,staff_leave_covering,Fourie off sick. agn. covered.
S104017,relief_no_show,"uPillay akezanga namhlanje, nimele yena !"
S106533,relief_no_show,"no replacement sent, ngicela sort this out"
S101777,equipment_failure,"machine down again, took twice as long"
S103073,staff_leave_covering,covering for nkosi - booked off sick..
S100983,no_signal,no issues on site
S108346,relief_no_show,"covering Cele post, no show no call"
S107474,relief_no_show,"control room says relief coming, nobody came"
S100715,no_signal,nothing to report
S106737,late_handover,"laet handover, waiting on paperwork"
S105115,staff_leave_covering,Naidoo off sick. agn. covered.
S100577,client_requested,"requested by centre management for load in, signed off"
S103405,no_signal,n/a
S105653,relief_no_show,stood in for Jacobs
S102421,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S102725,no_signal,-
S103582,relief_no_show,"Mabaso didnt come in, covered the post.."
S109249,no_signal,quiet shift
S106149,client_requested,client asked for extra patrol after the break-in tuesday
S103062,relief_no_show,"no replacement sent, ngicela sort this out"
S103565,no_signal,ntr
S107861,no_signal,sharp
S100942,staff_leave_covering,Nkosi off sick. again. covered.
S107766,relief_no_show,"uAdams akezanga namhlanje, ngimele yena"
S104514,no_signal,ntr
S108019,equipment_failure,"BUFFER MACHINE KAPUT, DID THE FLOOR BY HAND.."
S100711,relief_no_show,"took Wyk shift as well, 2 posts 1 guard"
S107338,relief_no_show,"took Sithole shift as well, 2 posts 1 guard"
S105984,late_handover,"late handover, waiting on paperwork"
S100747,client_requested,"client says stay till 6am, dont know if office approved"
S103623,relief_no_show,relief no show again
S106555,late_handover,shift handover delayed by 45 min
S104288,relief_no_show,"took Sithole shift as well, 2 posts 1 guard"
S101734,relief_no_show,"Mokoena absent, took her rounds as well"
S103832,relief_no_show,"still on site, relief was suppose to come 06:00"
S106792,relief_no_show,"no replacement sent, ngicela sort this out.."
S106354,client_requested,Client requested deep clean before the audit - approved
S102049,client_requested,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S106122,late_handover,shift handover delayed by 30 min..
S103211,client_requested,"additional cover requested by site manager, signed off"
S103957,no_signal,quiet shift
S103447,relief_no_show,"relief never arrived, stayed on till 06:00"
S103726,staff_leave_covering,"worked through, fourie at the clinic"
S100818,staff_leave_covering,"worked through, mthembu at the clinic"
S103655,late_handover,"late handover, waitnig on paperwork"
S102134,late_handover,"handover late agn, keys missing !"
S107628,no_signal,as per normal
S104916,relief_no_show,"Mavuso absent, took her rounds as well"
S103547,relief_no_show,"relief only arrived 6, stayed until then.."
S107968,relief_no_show,"no replacement sent, ngicela sort this out"
S102834,equipment_failure,"gate motor failed, manned it by hand till 6"
S108466,staff_leave_covering,"GEDK VIR MOKOENA, SEK GEMELD"
S108071,relief_no_show,"waited for relief, nobody came through"
S107721,staff_leave_covering,"WORKED THROUGH, MOTAUNG AT THE CLINIC"
S106240,relief_no_show,"aflos het nie opgedaag nie, moes aanbly.."
S102816,relief_no_show,client signed for the extra hours but real reason is relief no show agn
S103400,relief_no_show,RELIEF NO SHOW AGAIN
S103567,staff_leave_covering,Covering for Naidoo - booked off sick
S103011,relief_no_show,"still on site, relief was suppose to coe six"
S106804,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S104038,late_handover,"late handover, waiting on paperwork"
S101555,client_requested,Clint ased for extra patrol after the break-in Tuesday
S105556,relief_no_show,"UMANUEL AKEZANGA NAMHLANJE, NGIMELE YENA"
S105003,no_signal,-
S107975,no_signal,no issues on site
S100140,relief_no_show,Next shift guard did not pitch. Had to cover.
S107075,staff_leave_covering,"double duty toda,y sibiya on family responsibility leave"
S106652,relief_no_show,"still on site, relief was suppoes to come 6am"
S103478,staff_leave_covering,"double dtuy today, Nkoi on family responsibility leave"
S101798,staff_leave_covering,"worked through, Cele at the clinic"
S102432,late_handover,"oorhandiging was laat, gewag vir sleutels"
S105047,client_requested,"client says stay till six, donnt know if office approved"
S101552,equipment_failure,"lift out of order, everything carried up stairs, took long"
S109173,no_signal,.
S103055,relief_no_show,stood in for Fourie
S106541,relief_no_show,stood in for Mavuso
